ActCat,ActID
1,19
1,20
1,21
1,22
1,23
1,24
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,77
1,78
2,26
2,68
2,79
3,27
3,28
3,29
5,3
5,4
5,5
5,6
5,7
5,8
5,59
5,80
5,81
6,10
6,60
6,82
7,31
7,33
7,69
7,70
8,1
8,55
8,56
9,2
9,57
9,58
10,11
10,12
10,13
10,14
10,15
10,16
10,83
10,84
10,85
11,18
11,86
11,87
12,30
13,71
13,72
13,73
13,74
13,75
13,76
14,54
14,88
14,92
15,91
102,35
102,36
102,37
102,38
102,39
102,40
102,41
102,42
102,43
102,44
102,45
102,46
102,47
102,48
102,49
102,50
102,51
102,52
102,53
102,89
103,93
104,94
104,95
104,96
