Type,ID,Description,SortOrder
0,1,SAT ratings,
0,2,Migration to Groundwater,
0,3,MSDS GE Cats,
0,4,MSDS GE Type of Gloves,
0,5,MSDS GE Type of Eyewear,
0,6,MSDS GE Type of Ventilation,
0,7,MSDS GE Type of Other,
0,8,MSDS Respirator,
0,9,MSDS Health Effects,
0,10,Model Characterization Descriptions,
0,11,Occupational Exposure Ratings,
1,1,1,
1,2,1-2,
1,3,2,
1,4,2-3,
1,5,3,
2,1,Moderate,5.0
2,2,Moderate to Rapid,6.0
2,3,Negligible,1.0
2,4,Rapid,7.0
2,5,Slow,3.0
2,6,Slow to moderate,4.0
2,7,Negligible to slow,2.0
2,99,Other (please specify),8.0
3,4,Gloves,
3,5,Eyewear,
3,6,Ventilation,
3,7,Other,
4,0,Nitrile,
4,1,PVC,
4,2,Rubber,
4,3,Unspecified type,
4,99,Other,
5,0,Goggles,
5,1,Glasses,
5,2,Face Shield,
5,99,Other,
6,0,Local Exhaust,
6,1,General Mechanical,
6,99,Other,
7,0,,
8,0,Air Purifying,
8,1,Organic Vapor,
8,2,Dust,
8,3,Paint,
8,4,Mist,
8,5,Supplied Air,
8,99,Other,
9,0,Corrosive,
9,1,Flammable,
9,2,Irritant to skin,
9,3,Irritant to eyes,
9,4,Irritant to lungs,
9,5,Irritant to mucous membranes,
9,99,Other,
10,1,Output,1.0
10,2,Low End of Range,2.0
10,3,Average,2.0
10,4,Median,2.0
10,5,Central Tendency,2.0
10,6,Typical,2.0
10,7,High End of Range,2.0
10,8,High End,2.0
10,9,Conservative,2.0
10,10,Bounding,2.0
10,11,Maximum Based on Limit of Detection,2.0
10,12,Worst Case,2.0
10,13,What-If,2.0
10,14,Upper Bound,2.0
10,15,High End to Bounding,2.0
10,999,User-Input,3.0
11,1,1A,
11,2,1-2A,
11,3,2A,
11,4,2-3A,
11,6,,
11,7,NR,
11,8,0-1,
11,11,1B,
11,12,1-2B,
11,13,2B,
11,14,2-3B,
11,21,1C,
11,22,1-2C,
11,23,2C,
11,24,2-3C,
11,31,1D,
11,32,1-2D,
11,33,2D,
11,34,2-3D,
10,16,Near-Field,2.0
10,17,Far-Field,2.0
