ParmID,ParmName,StdUnits,Abbr,Notes,Type,DefaultSource,PCat2,PCat3,PCat4,PCat5,PCat6,PCat7,PCat8,PCat9,PCat10,PCat11,PCat14,PCat15,PCat16,PCat17,PCat18,PCat19,PCat20,PCat24,PCat25,PCat26,PCat27,PCat28,PCat29,PCat30,PCat31
1,Number of Sites,sites,NS,,1,-1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Number of Operating Days,days/site-yr,OD,,141,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Operating Hours per Day,hrs/site-day,OH,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vapor Pressure,torr,VP,,1,-1302,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
5,Molecular Weight,g/mol,MW,,1,-1102,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0
6,Universal Gas Constant,atm cm3/gmol K,R,,20,-1300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Atmospheric Pressure,atm,P,,1,-1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Temperature,K,T,,1,-1300,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
9,Weight Fraction,dimensionless,WFused,,1,-1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Weight Fraction of Chemical in Product,dimensionless,Yprod,,142,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Weight Fraction of Chemical in Raw Material,dimensionless,Yrm,,142,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mass Output of Product Containing Chemical,kg/site-day,DMOprod,,140,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Daily Mass Output of Chemical in Product,kg/site-day,DMOchem,,140,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Mass Input of Raw Material Containing Chemical,kg/site-day,DMIrm,,140,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
