ActID,ModelID
1,8
1,9
1,39
1,43
2,39
3,7
3,39
3,43
4,7
4,39
4,43
5,7
5,39
5,43
6,7
6,39
6,43
7,7
7,39
7,43
8,7
8,39
8,43
10,39
11,7
11,8
11,9
11,39
11,43
12,7
12,8
12,9
12,39
12,43
13,7
13,8
13,9
13,39
13,43
14,7
14,8
14,9
14,39
14,43
15,7
15,8
15,9
15,39
15,43
16,7
16,8
16,9
16,39
16,43
18,39
19,2
19,5
19,7
19,8
19,9
19,39
19,43
20,2
20,5
20,7
20,8
20,9
20,39
20,43
21,2
21,7
21,8
21,9
21,39
21,43
22,1
22,2
22,7
22,8
22,9
22,39
22,43
23,1
23,7
23,8
23,9
23,39
23,43
24,1
24,7
24,8
24,9
24,39
24,43
26,6
26,39
27,3
27,4
27,7
27,8
27,9
27,39
27,43
28,3
28,4
28,7
28,8
28,9
28,39
28,43
29,3
29,4
29,7
29,8
29,9
29,39
29,43
30,8
30,9
30,39
30,43
31,7
31,8
31,9
31,39
31,42
31,43
33,39
33,42
54,8
54,9
54,39
54,43
55,8
55,9
55,39
55,43
56,8
56,9
56,39
56,43
57,39
58,39
59,7
59,39
59,43
60,39
61,2
61,5
61,7
61,8
61,9
61,39
61,43
62,2
62,5
62,7
62,8
62,9
62,39
62,43
63,2
63,7
63,8
63,9
63,39
63,43
64,1
64,2
64,7
64,8
64,9
64,39
64,43
65,1
65,7
65,8
65,9
65,39
65,43
66,1
66,7
66,8
66,9
66,39
66,43
67,1
67,2
67,5
67,7
67,8
67,9
67,39
67,43
68,6
68,39
69,7
69,8
69,9
69,39
69,42
69,43
70,39
70,42
71,7
71,39
71,43
72,8
72,9
72,39
72,43
73,8
73,9
73,39
73,43
74,7
74,8
74,9
74,39
74,42
74,43
75,7
75,8
75,9
75,39
75,43
76,39
77,1
77,2
77,5
77,7
77,8
77,9
77,39
77,43
78,1
78,2
78,5
78,7
78,8
78,9
78,39
78,43
79,6
79,39
80,7
80,39
80,43
81,7
81,39
81,43
82,39
83,7
83,8
83,9
83,39
83,43
84,7
84,8
84,9
84,39
84,43
85,7
85,8
85,9
85,39
85,43
86,39
87,39
88,11
88,39
88,41
88,43
89,39
89,43
89,48
90,39
90,41
90,43
91,6
91,21
91,23
91,24
91,28
91,29
91,39
91,44
91,46
91,47
92,24
92,39
92,41
92,43
92,46
92,50
94,51
95,52
96,39
