ParmID,ModelID,ActID,GSSID,DefaultValue,TempNotes
2,0,0,0,1.70000000e+02,AutoRef GSS default
2,0,0,103,3.60000000e+02,WaterCool GSS default
2,0,0,104,2.50000000e+02,Electroplating Bath GSS default
2,0,93,0,3.60000000e+02,WaterCool GSS default
4,7,0,0,-3.10800000e+03,VP
4,8,0,0,-3.10800000e+03,VP
4,9,0,0,-3.10800000e+03,VP
4,22,0,0,-3.10900000e+03,VP
4,45,0,0,-3.10900000e+03,VP
6,0,0,0,8.20500031e+01,"R: universal gas constant, all models"
7,0,0,0,1.00000000e+00,P for all models
8,0,0,0,2.98000000e+02,"T: temp, all models"
19,0,3,0,1.00000000e+00,Vc for Bottles
19,0,4,0,5.00000000e+00,Vc for Small Containers
19,0,5,0,5.50000000e+01,Vc for Drums
19,0,6,0,5.50000000e+02,Vc for Totes
19,0,7,0,5.00000000e+03,Vc for Tank Trucks
19,0,8,0,2.00000000e+04,Vc for Rail Cars
19,0,11,0,1.00000000e+00,Vc for Bottles
19,0,12,0,5.00000000e+00,Vc for Small Containers
19,0,13,0,5.50000000e+01,Vc for Drums
19,0,14,0,5.50000000e+02,Vc for Totes
19,0,15,0,5.00000000e+03,Vc for Tank Trucks
19,0,16,0,2.00000000e+04,Vc for Rail Cars
19,0,19,0,1.00000000e+00,Vc for Bottles
19,0,20,0,5.00000000e+00,Vc for Small Containers
19,0,21,0,5.50000000e+01,Vc for Drums
19,0,22,0,5.50000000e+02,Vc for Totes
19,0,23,0,5.00000000e+03,Vc for Tank Trucks
19,0,24,0,2.00000000e+04,Vc for Rail Cars
19,0,61,0,1.00000000e+00,Vc for Bottles
19,0,62,0,5.00000000e+00,Vc for Small Containers
19,0,63,0,5.50000000e+01,Vc for Drums
19,0,64,0,5.50000000e+02,Vc for Totes
19,0,65,0,5.00000000e+03,Vc for Tank Trucks
19,0,66,0,2.00000000e+04,Vc for Rail Cars
21,0,0,0,8.00000000e+00,Vcar
22,0,0,0,-3.11700000e+03,f
