NumericCas,CASNumber,ChemicalName,MW,PEL-TWA,PEL-TWAConvert,PEL-TWAmgm3,PEL-TWAmgm3Convert,NOTEPEL,PEL-STEL,PEL-STELConvert,PEL-STELmgm3,PEL-STELmgm3Convert,PEL-CL,PEL-CLConvert,PEL-CLmgm3,PEL-CLmgm3Convert,PEL-mpcfa,PEL-COMMENTS,REL-TWA,REL-TWAConvert,REL-TWAmgm3,REL-TWAmgm3Convert,NOTEREL,REL-STEL,REL-STELConvert,REL-STELmgm3,REL-STELmgm3Convert,REL-CL,REL-CLConvert,REL-CLmgm3,REL-CLmgm3Convert,RELFCC,REL-COMMENTS
58899,58-89-9,LINDANE,2.9081999999999999e+02,4.2036311120280584e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.,4.2036311120280584e-02,1,5.0000000000000000e-01,0,,,0,,0,,0,,0,,NONE.
60297,60-29-7,ETHYL ETHER,7.4140000000000001e+01,4.0000000000000000e+02,0,1.2000000000000000e+03,0,,,0,,0,,0,,0,,SYN - DIETHYL ETHER.,,0,,0,,,0,,0,,0,,0,,
60344,60-34-4,METHYL HYDRAZINE,4.6090000000000003e+01,,0,,0,,,0,,0,2.0000000000000001e-01,0,3.4999999999999998e-01,0,,SYN - MONOMETHYL HYDRAZINE.,,0,,0,,,0,,0,4.0000000000000001e-02,0,8.0000000000000002e-02,0,,SYN - MONOMETHYL HYDRAZINE.  VALUE BASED ON 120 MINUTES.  LOWEST FEASIBLE CONCENTRATION.
60571,60-57-1,DIELDRIN,3.8089999999999998e+02,1.6047519033867159e-02,1,2.5000000000000000e-01,0,,,0,,0,,0,,0,,NONE.,1.6047519033867159e-02,1,2.5000000000000000e-01,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION.
61825,61-82-5,AMITROLE,8.4099999999999994e+01,,0,,0,,,0,,0,,0,,0,,,5.8145065398335326e-02,1,2.0000000000000001e-01,0,,,0,,0,,0,,0,,"SYN - 3-AMINO-1,2,4-TRIAZOLE."
,,ANILINE AND HOMOLOGS,9.3140000000000001e+01,5.0000000000000000e+00,0,1.9000000000000000e+01,0,,,0,,0,,0,,0,,NONE.,,0,,0,,,0,,0,,0,,0,,LOWEST FEASIBLE CONCENTRATION.
62737,62-73-7,DICHLORVOS,2.2097999999999999e+02,1.1064349714906327e-01,1,1.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.,1.1064349714906327e-01,1,1.0000000000000000e+00,0,,,0,,0,,0,,0,,NONE.
62748,62-74-8,SODIUM FLUOROACETATE,1.0003000000000000e+02,1.2221333599920026e-02,1,5.0000000000000003e-02,0,,,0,,0,,0,,0,,NONE.,1.2221333599920026e-02,1,5.0000000000000003e-02,0,,3.6664000799760066e-02,1,1.4999999999999999e-01,0,,0,,0,,NONE.
63252,63-25-2,CARBARYL,2.0124000000000001e+02,6.0748360166964810e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,SYN - SEVIN.- MINIMIZE EXPOSURE DURING PREGNANCY.,6.0748360166964810e-01,1,5.0000000000000000e+00,0,,,0,,0,,0,,0,,SYN - SEVIN.  MINIMIZE EXPOSURE DURING PREGNANCY.
123911,123-91-1,DIOXANE,8.8120000000000005e+01,1.0000000000000000e+02,0,3.6000000000000000e+02,0,,,0,,0,,0,,0,,SYN - DIETHYLENE DIOXIDE.,,0,,0,,,0,,0,1.0000000000000000e+00,0,3.6000000000000001e+00,0,,SYN - DIETHYLENE DIOXIDE. - VALUES BASED ON 30 MINUTES.  LOWEST FEASIBLE CONCENTRATION.
