ScenActID,ParmID,ParmValue,ParmType,ScenarioID
0,1,2.00000000e+01,0,83
0,2,6.99999988e-01,0,83
0,3,5.50000000e+01,0,83
0,4,1.00000000e+00,0,83
0,5,1.00000000e+00,0,83
0,6,2.08175003e+02,0,83
0,7,1.24770150e-01,0,83
0,8,6.23850769e+02,0,83
0,9,2.50000000e+02,0,83
0,10,2.49540305e+00,0,83
0,11,1.45722504e+02,0,83
0,12,3.63636383e+02,0,83
0,13,5.19480530e+02,0,83
1,1,2.00000000e+01,0,83
1,2,6.99999988e-01,0,83
1,3,5.50000000e+01,0,83
1,4,1.00000000e+00,0,83
1,5,1.00000000e+00,0,83
1,6,2.08175003e+02,0,83
1,7,1.24770150e-01,0,83
1,8,6.23850769e+02,0,83
1,9,2.50000000e+02,0,83
1,10,2.49540305e+00,0,83
1,11,1.45722504e+02,0,83
1,12,3.63636383e+02,0,83
1,13,5.19480530e+02,0,83
2,2,6.99999988e-01,0,83
2,9,2.50000000e+02,0,83
3,2,6.99999988e-01,0,83
3,9,2.50000000e+02,0,83
0,1,2.00000000e+01,0,84
0,2,6.99999988e-01,0,84
0,3,5.50000000e+01,0,84
0,4,1.00000000e+00,0,84
0,5,1.00000000e+00,0,84
0,6,2.08175003e+02,0,84
0,7,1.24770150e-01,0,84
0,8,6.23850769e+02,0,84
0,9,2.50000000e+02,0,84
0,10,2.49540305e+00,0,84
0,11,1.45722504e+02,0,84
0,12,3.63636383e+02,0,84
0,13,5.19480530e+02,0,84
1,1,2.00000000e+01,0,84
1,2,6.99999988e-01,0,84
1,3,5.50000000e+01,0,84
1,4,1.00000000e+00,0,84
1,5,1.00000000e+00,0,84
1,6,2.08175003e+02,0,84
1,7,1.24770150e-01,0,84
1,8,6.23850769e+02,0,84
1,9,2.50000000e+02,0,84
1,10,2.49540305e+00,0,84
1,11,1.45722504e+02,0,84
1,12,3.63636383e+02,0,84
1,13,5.19480530e+02,0,84
2,2,6.99999988e-01,0,84
2,9,2.50000000e+02,0,84
3,2,6.99999988e-01,0,84
3,9,2.50000000e+02,0,84
4,2,6.99999988e-01,0,84
4,9,2.50000000e+02,0,84
0,1,2.00000000e+01,0,85
0,2,2.00000003e-01,0,85
0,3,5.50000000e+01,0,85
0,4,1.00000000e+00,0,85
0,5,1.00000000e+00,0,85
0,6,2.08175003e+02,0,85
0,7,1.60121694e-02,0,85
0,8,8.00608444e+01,0,85
0,9,2.50000000e+02,0,85
0,10,3.20243388e-01,0,85
0,11,4.16350021e+01,0,85
0,12,1.33333340e+01,0,85
0,13,6.66666718e+01,0,85
1,1,2.00000000e+01,0,85
1,2,2.00000003e-01,0,85
1,3,5.50000000e+01,0,85
1,4,1.00000000e+00,0,85
1,5,1.00000000e+00,0,85
1,6,2.08175003e+02,0,85
1,7,1.60121694e-02,0,85
1,8,8.00608444e+01,0,85
1,9,2.50000000e+02,0,85
1,10,3.20243388e-01,0,85
1,11,4.16350021e+01,0,85
1,12,1.33333340e+01,0,85
1,13,6.66666718e+01,0,85
2,2,2.00000003e-01,0,85
2,9,2.50000000e+02,0,85
3,2,2.00000003e-01,0,85
3,9,2.50000000e+02,0,85
4,2,2.00000003e-01,0,85
4,9,2.50000000e+02,0,85
5,2,2.00000003e-01,0,85
5,9,2.50000000e+02,0,85
0,1,2.00000000e+01,0,86
0,2,5.50000012e-01,0,86
0,3,5.50000000e+01,0,86
0,4,1.00000000e+00,0,86
0,5,1.00000000e+00,0,86
0,6,2.08175003e+02,0,86
0,7,1.30478584e-04,0,86
0,8,9.13350046e-01,0,86
0,9,3.50000000e+02,0,86
0,10,2.60957167e-03,0,86
0,11,1.14496254e+02,0,86
0,12,2.98786193e-01,0,86
0,13,5.43247581e-01,0,86
1,1,2.00000000e+01,0,86
1,2,5.50000012e-01,0,86
1,3,5.50000000e+01,0,86
1,4,1.00000000e+00,0,86
1,5,1.00000000e+00,0,86
1,6,2.08175003e+02,0,86
1,7,1.30478584e-04,0,86
1,8,9.13350046e-01,0,86
1,9,3.50000000e+02,0,86
1,10,2.60957167e-03,0,86
1,11,1.14496254e+02,0,86
1,12,2.98786193e-01,0,86
1,13,5.43247581e-01,0,86
2,2,5.50000012e-01,0,86
2,9,3.50000000e+02,0,86
3,2,5.50000012e-01,0,86
3,9,3.50000000e+02,0,86
4,2,5.50000012e-01,0,86
4,9,3.50000000e+02,0,86
5,2,5.50000012e-01,0,86
5,9,3.50000000e+02,0,86
0,1,2.00000000e+01,0,87
0,2,1.00000000e+00,0,87
0,3,5.50000000e+01,0,87
0,4,1.00000000e+00,0,87
0,5,1.00000000e+00,0,87
0,6,2.08175003e+02,0,87
0,7,6.15852652e-03,0,87
0,8,3.20243378e+01,0,87
0,9,2.60000000e+02,0,87
0,10,1.23170532e-01,0,87
0,11,2.08175003e+02,0,87
0,12,2.56410255e+01,0,87
0,13,2.56410255e+01,0,87
1,2,1.00000000e+00,0,87
1,9,2.60000000e+02,0,87
0,2,1.00000000e+00,0,88
0,9,2.60000000e+02,0,88
1,2,1.00000000e+00,0,88
1,3,5.50000000e+01,0,88
1,4,1.00000000e+00,0,88
1,5,1.00000000e+00,0,88
1,6,2.08179993e+02,0,88
1,8,1.20088387e+02,1,88
1,9,2.60000000e+02,1,88
1,10,4.61878419e-01,1,88
1,11,2.08179993e+02,0,88
1,12,9.61538467e+01,0,88
1,13,9.61538467e+01,0,88
2,2,1.00000000e+00,0,88
2,3,5.50000000e+01,0,88
2,4,1.00000000e+00,0,88
2,5,1.00000000e+00,0,88
2,6,2.08179993e+02,0,88
2,8,1.20088387e+02,1,88
2,9,2.60000000e+02,1,88
2,10,4.61878419e-01,1,88
2,11,2.08179993e+02,0,88
2,12,9.61538467e+01,0,88
2,13,9.61538467e+01,0,88
0,1,2.00000000e+01,0,89
0,2,1.00000000e+00,0,89
0,3,5.50000000e+01,0,89
0,4,1.00000000e+00,0,89
0,5,1.00000000e+00,0,89
0,6,2.08175003e+02,0,89
0,7,6.15852652e-03,0,89
0,8,3.20243378e+01,0,89
0,9,2.60000000e+02,0,89
0,10,1.23170532e-01,0,89
0,11,2.08175003e+02,0,89
0,12,2.56410255e+01,0,89
0,13,2.56410255e+01,0,89
1,2,1.00000000e+00,0,89
1,9,2.60000000e+02,0,89
0,2,1.00000000e+00,0,91
0,9,3.60000000e+02,0,91
0,1,2.00000000e+00,0,92
0,2,2.30000004e-01,0,92
0,3,5.00000000e+03,0,92
0,4,1.00000000e+00,0,92
0,5,1.00000000e+00,0,92
0,6,1.89250000e+04,0,92
0,7,1.09643340e+00,0,92
0,8,5.48216675e+02,0,92
0,9,2.50000000e+02,0,92
0,10,2.19286680e+00,0,92
0,11,4.35275000e+03,0,92
0,12,9.54500098e+03,0,92
0,13,4.15000039e+04,0,92
1,1,2.00000000e+00,0,92
