ExpParmsAN,OutputID,ParmID,ParmValue,ParmType,ParmVC
99,0,1,1.10000000e+01,1,-1000
99,0,2,2.50000000e+02,141,-1000
99,0,10,6.99999988e-01,142,-1000
99,0,11,6.99999988e-01,142,-1000
99,0,16,2.50000000e+02,141,-1000
99,0,32,0.00000000e+00,1,0
99,0,33,3.83600006e+02,1,0
99,0,36,8.40000000e+02,20,-1302
99,0,37,6.99999988e-01,1,-1302
99,0,39,1.00000000e+00,142,-1300
99,0,41,4.00000000e+01,1,-1300
99,0,42,7.00000000e+01,1,-1300
99,0,47,4.00000000e+01,1,-1300
99,0,48,7.00000000e+01,1,-1300
99,0,60,1.00000000e+00,1,-1300
99,0,75,2.50000000e+02,1,93
99,0,77,6.99999988e-01,1,94
99,0,83,5.48000000e+02,1,0
99,0,84,5.48000000e+02,1,0
99,0,85,0.00000000e+00,1,0
99,0,86,0.00000000e+00,1,0
99,0,88,5.48000000e+02,1,0
99,0,89,0.00000000e+00,1,0
99,0,91,1.90000000e+01,3,-1300
99,0,93,2.50000000e+02,141,-1209
99,0,94,6.99999988e-01,142,-1202
99,0,98,2.50000000e+02,141,-1300
99,0,99,5.48000000e+02,1,0
99,0,105,6.23850769e+02,141,-1208
99,0,106,0.00000000e+00,1,0
99,0,107,3.83600006e+02,1,0
99,0,108,0.00000000e+00,1,0
99,0,109,3.83600006e+02,1,0
99,0,123,0.00000000e+00,1,0
99,0,124,0.00000000e+00,142,-1000
99,1,1,1.10000000e+01,1,-1000
99,1,2,2.50000000e+02,141,-1000
99,1,10,6.99999988e-01,142,-1000
99,1,11,6.99999988e-01,142,-1000
99,1,16,2.50000000e+02,141,-1000
99,1,32,0.00000000e+00,1,0
99,1,33,3.83600006e+02,1,0
99,1,36,8.40000000e+02,20,-1302
99,1,37,2.09999990e+00,1,-1302
99,1,39,1.00000000e+00,142,-1300
99,1,41,4.00000000e+01,1,-1300
99,1,42,7.00000000e+01,1,-1300
99,1,47,4.00000000e+01,1,-1300
99,1,48,7.00000000e+01,1,-1300
99,1,60,1.00000000e+00,1,-1300
99,1,75,2.50000000e+02,1,93
99,1,77,6.99999988e-01,1,94
99,1,83,5.48000000e+02,1,0
99,1,84,5.48000000e+02,1,0
99,1,85,0.00000000e+00,1,0
99,1,86,0.00000000e+00,1,0
99,1,88,5.48000000e+02,1,0
99,1,89,0.00000000e+00,1,0
99,1,91,1.90000000e+01,3,-1300
99,1,93,2.50000000e+02,141,-1209
