ScenActID,ExplModID,ExpParmsAN,ModelID,Basis,Freq,Ire,Icb,ILADDre,ILADDcb,IADDre,IADDcb,IAPDDre,IAPDDcb,DexpRe,DexpCb,DLADDre,DLADDcb,DADDre,DADDcb,DAPDRre,DAPDRcb,ChemStateID,OutputOn1,OutputOn2,Char1,Char2,ModelStatus,InhUncertainty,InhClass,InhClassNotes,InhClassExpLevel,InhClassHazRating,InhClassInhMon,ScenarioID
1,0,99,26,"EPA/OPPT 2-Hand Dermal Contact with Liquids Model. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, workers may be exposed while rinsing containers used to transport the radiation curable formulation. ",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,83
2,0,100,27,"EPA/OPPT 2-Hand Dermal Immersion in Liquid Model. For spray application, the EPA/OPPT 2-Hand Dermal Immersion in Liquid Model may be used to estimate dermal exposure to the chemical of interest in a liquid formulation during these application activities. ",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,83
2,1,101,49,"EPA/OPPT Automobile OEM Spray Coating Inhalation Model (non-volatile non-polyisocyanates). Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, spray application in the radiation curable products industry is typically a controlled process conducted in a spray booth or an enclosed system. EPA recommends that if the process enclosure is unknown, assume the default system to be a manual or unenclosed application. Exposure estimates for an unknown process enclosure are conservatively estimated using the EPA/OPPT Automobile OEM Spray Coating Inhalation Exposure Model. /// Note: Inhalation exposure from spray application should be assessed for both volatile and non-volatile chemicals (see ESD for additional details). ",,,,,,,,,,,,,,,,,,2,0,1,What-If,What-If,2,1,Mist (volatile) (Class III),NOTE: The respirator class is: III. Combination Gas/Vapor and Particulate (gas and liquid/solid physical forms are both present).,1,,,83
1,0,102,26,"EPA/OPPT 2-Hand Dermal Contact with Liquids Model. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, workers may be exposed while rinsing containers used to transport the radiation curable formulation. ",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,84
1,1,103,22,"EPA/OPPT Mass Balance Model. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, workers may be exposed while rinsing containers used to transport the radiation curable formulation. ",,,,,,,,,,,,,,,,,,1,1,1,Typical,Worst Case,2,1,Vapor (volatile) (Class II),NOTE: The respirator class is: II. Gas/vapor (all substances in the gas form).,0,,,84
3,0,104,27,"EPA/OPPT 2-Hand Dermal Immersion in Liquid Model. For spray application, the EPA/OPPT 2-Hand Dermal Immersion in Liquid Model may be used to estimate dermal exposure to the chemical of interest in a liquid formulation during these application activities. ",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,84
3,1,105,49,"EPA/OPPT Automobile OEM Spray Coating Inhalation Model (non-volatile non-polyisocyanates). Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, spray application in the radiation curable products industry is typically a controlled process conducted in a spray booth or an enclosed system. EPA recommends that if the process enclosure is unknown, assume the default system to be a manual or unenclosed application. Exposure estimates for an unknown process enclosure are conservatively estimated using the EPA/OPPT Automobile OEM Spray Coating Inhalation Exposure Model. /// Note: Inhalation exposure from spray application should be assessed for both volatile and non-volatile chemicals (see ESD for additional details). ",,,,,,,,,,,,,,,,,,2,0,1,What-If,What-If,2,1,Mist (volatile) (Class III),NOTE: The respirator class is: III. Combination Gas/Vapor and Particulate (gas and liquid/solid physical forms are both present).,1,,,84
0,0,106,26,"EPA/OPPT 2-Hand Dermal Contact with Liquids Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, ""there is potential for dermal exposure during transport containers cleaning.""",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,85
0,1,107,22,"EPA/OPPT Mass Balance Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, containers are assumed to be cleaned at the formulation site to perform a conservative assessment. ",,,,,,,,,,,,,,,,,,1,1,1,Typical,Worst Case,2,1,Vapor (volatile) (Class II),NOTE: The respirator class is: II. Gas/vapor (all substances in the gas form).,0,,,85
5,0,108,28,"EPA/OPPT Direct 2-Hand Dermal Contact with Solids Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, dermal exposure is expected during the packaging of the final products. ",,,,,,,,,,,,,,,,,,12,0,1,High End,High End,2,1,,,,,,85
5,1,109,24,"OSHA PNOR PEL-Limiting Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, ""transferring powdered commercial and consumer products from mixing vessels to transport containers is expected to generate particulates.""",,,,,,,,,,,,,,,,,,3,0,1,Upper Bound,Upper Bound,2,1,Particulate (volatile) (Class I),NOTE: The respirator class is: I. Particulate (including solid or liquid droplets).,0,,,85
0,0,110,26,EPA/OPPT 2-Hand Dermal Contact with Liquids Model.,,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,86
0,0,111,26,"EPA/OPPT 2-Hand Dermal Contact with Liquids Model. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, workers may be exposed during the manual loading of laundry products or when connecting transfer lines to the transport containers. If site-specific information is not available, assume that the laundry cleaning product is manually loaded as a conservative exposure estimate. ",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,87
1,0,112,28,EPA/OPPT Direct 2-Hand Dermal Contact with Solids Model.,,,,,,,,,,,,,,,,,,12,0,1,High End,High End,2,1,,,,,,88
1,1,113,24,"OSHA PNOR PEL-Limiting Model. Per the ESD on Chemical Used in Water Based Washing Operations at Industrial and Institutional Laundries, workers may manually scoop or pour solid detergent chemicals into the washing machine (default scenario).",,,,,,,,,,,,,,,,,,3,0,1,Upper Bound,Upper Bound,2,1,Particulate (volatile) (Class I),NOTE: The respirator class is: I. Particulate (including solid or liquid droplets).,1,,,88
3,0,114,25,"EPA/OPPT 1-Hand Dermal Contact with Liquids Model. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, dermal exposure may occur during the handling of wet laundry; as conservative, assume a concentration of the chemical of interest on the wet laundry of 0.05%.",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,88
0,0,115,26,"EPA/OPPT 2-Hand Dermal Contact with Liquids Model. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, workers may be exposed during the manual loading of laundry products or when connecting transfer lines to the transport containers. If site-specific information is not available, assume that the laundry cleaning product is manually loaded as a conservative exposure estimate. ",,,,,,,,,,,,,,,,,,11,0,1,Output 1,High End,2,1,,,,,,89
0,1,116,22,"EPA/OPPT Mass Balance Model. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, workers may be exposed during the manual loading of laundry products or when connecting transfer lines to the transport containers. If site-specific information is not available, assume that the laundry cleaning product is manually loaded as a conservative exposure estimate. ",,,,,,,,,,,,,,,,,,1,1,1,Typical,Worst Case,2,1,Vapor (volatile) (Class II),NOTE: The respirator class is: II. Gas/vapor (all substances in the gas form).,0,,,89
