ScenActID,RelModID,RelParmsAN,ModelID,DailyRelRE,DailyRelCB,AnnRelRE,AnnRelCB,DailyRel1_SN,DailyRel2_SN,AnnRel1_SN,AnnRel2_SN,RelDays,AirPct,WaterPct,LFPct,IncPct,OtherPct,OtherDesc,DestPct,Basis,DeepPct,RelDays2,OutputOn1,OutputOn2,Char1,Char2,NAICS,ModelStatus,ScenarioID
0,0,17,48,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.0E+0,0.0E+0,0.0E+0,0.0E+0,0.00000000e+00,,,,,,,,EPA/OPPT Automobile OEM Coating Overspray Loss Model (non-volatiles).,,0.00000000e+00,0,1,Output 1,Output 2,,0,41
1,0,160,2,0.00000000e+00,1.09090910e+01,0.00000000e+00,3.00000000e+04,0.0E+0,1.1E+1,0.0E+0,3.0E+4,0.00000000e+00,,,,,,,,"EPA/OPPT Drum Residual Model, CEB standard 3% residual. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, EPA recommends assuming a default transportation container size of 55-gallon drums; therefore, the EPA/OPPT Drum Residual Model may be used to estimate this release. Container cleaning may involve an organic and water wash, which could be released to water, incineration, or landfill, per ESD.",,2.50000000e+02,0,1,Central Tendency,High End,"water, incineration, or landfill (per ESD)",2,83
2,0,161,41,0.00000000e+00,2.87700012e+02,0.00000000e+00,7.91175062e+05,0.0E+0,2.9E+2,0.0E+0,7.9E+5,0.00000000e+00,,,,,,,,"EPA/OPPT Automobile Refinish Coating Overspray Loss Model (non-volatiles). Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, the Spray Coating release model should be used if the application method and type of substrate are unknown; EPA suggests using the EPA/OPPT Automobile Refinish Coatings Overspray Loss Model to estimate releases from spray coating. Per the ESD, the user should assume the use of a conventional spray gun within a spray booth equipped with dry filter as default; this model assumes a spray booth efficiency of 90% and a solid removal efficiency of 100%. As conservative, CEB assumes the fraction of radiation curable product adhered is 25% (or a loss fraction of 75%) (per ESD). For this model, overspray releases are assessed to air (10%) and landfill or incineration (90%) (see ESD for additional details).",,2.50000000e+02,0,1,Output 1,Output 2,"Air (10%), Incineration or Landfill (90%) (per ESD)",2,83
3,0,162,3,0.00000000e+00,7.67199993e+00,0.00000000e+00,2.10980000e+04,0.0E+0,7.7E+0,0.0E+0,2.1E+4,0.00000000e+00,,,,,,,,"EPA/OPPT Multiple Process Vessel Residual Model, CEB standard 2% residual. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, industry-specific information estimates approximately one percent of used radiation curable product is lost during equipment cleaning at the application site with releases typically sent to incineration or land. EPA recommends using the EPA/OPPT Multiple Process Vessel Residual Model to conservatively estimate process losses from equipment cleaning if additional site-specific information is not available. ",,2.50000000e+02,0,1,Conservative,Conservative,Incineration or Landfill (per ESD),2,83
0,0,163,7,2.79580388e-04,5.59160777e-04,7.68846095e-01,1.53769219e+00,2.8E-4,5.6E-4,7.7E-1,1.5E+0,2.50000000e+02,,,,,,,,"EPA/OAQPS AP-42 Loading Model. Per the ESD on the Application of Radiation Curable Coatins, Inks, and Adhesives, ""if the chemical is volatile (e.g., the vapor pressure is > 0.001 torr), releases to air may occur from the displacement of saturated air when the chemical is transferred""; EPA suggests using the EPA/OAQPS AP-42 Loading Model to estimate the releases from transfer operations.",,2.50000000e+02,1,1,Typical,Worst Case,Air (per ESD),2,84
1,0,164,2,0.00000000e+00,1.09090910e+01,0.00000000e+00,3.00000000e+04,0.0E+0,1.1E+1,0.0E+0,3.0E+4,0.00000000e+00,,,,,,,,"EPA/OPPT Drum Residual Model, CEB standard 3% residual. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, EPA recommends assuming a default transportation container size of 55-gallon drums; therefore, the EPA/OPPT Drum Residual Model may be used to estimate this release. Container cleaning may involve an organic and water wash, which could be released to water, incineration, or landfill, per ESD.",,2.50000000e+02,0,1,Central Tendency,High End,"water, incineration, or landfill (per ESD)",2,84
1,1,165,9,0.00000000e+00,9.31058457e-06,0.00000000e+00,2.56041083e-02,0.0E+0,9.3E-6,0.0E+0,2.6E-2,0.00000000e+00,,,,,,,,"EPA/OPPT Penetration Model. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, ""if the chemical is volatile (e.g., vapor pressure is > 0.001 torr), it may volatilize and be emitted from the process while empty containers are being rinsed and cleaned""; EPA suggests using the EPA/OPPT Penetration Model for estimating releases to air from containers cleaned indoors.",,2.50000000e+02,0,1,Output 1,Output 2,Air (per ESD),2,84
2,0,166,9,2.57620668e-05,2.06096534e-04,7.08456859e-02,5.66765487e-01,2.6E-5,2.1E-4,7.1E-2,5.7E-1,2.50000000e+02,,,,,,,,"EPA/OPPT Penetration Model. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, ""if the chemical is volatile (e.g., the vapor pressure is > 0.001 torr), it may volatilize and be emitted from the process during QA/QC sampling activities""; EPA suggests using the EPA/OPPT Penetration Model to estimate releases to air from sampling activities performed indoors. ",,2.50000000e+02,1,1,Typical,Worst Case,Air (per ESD),2,84
3,0,167,41,0.00000000e+00,2.87700012e+02,0.00000000e+00,7.91175062e+05,0.0E+0,2.9E+2,0.0E+0,7.9E+5,0.00000000e+00,,,,,,,,"EPA/OPPT Automobile Refinish Coating Overspray Loss Model (non-volatiles). Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, the Spray Coating release model should be used if the application method and type of substrate are unknown; EPA suggests using the EPA/OPPT Automobile Refinish Coatings Overspray Loss Model to estimate releases from spray coating. Per the ESD, the user should assume the use of a conventional spray gun within a spray booth equipped with dry filter as default; this model assumes a spray booth efficiency of 90% and a solid removal efficiency of 100%. As conservative, CEB assumes the fraction of radiation curable product adhered is 25% (or a loss fraction of 75%) (per ESD). For this model, overspray releases are assessed to air (10%) and landfill or incineration  (90%) (see ESD for additional details).",,2.50000000e+02,0,1,Output 1,Output 2,"Air (10%), Incineration or Landfill (90%) (per ESD)",2,84
4,0,168,3,0.00000000e+00,7.67199993e+00,0.00000000e+00,2.10980000e+04,0.0E+0,7.7E+0,0.0E+0,2.1E+4,0.00000000e+00,,,,,,,,"EPA/OPPT Multiple Process Vessel Residual Model, CEB standard 2% residual. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, industry-specific information estimates approximately one percent of used radiation curable product is lost during equipment cleaning at the application site with releases typically sent to incineration or land. EPA recommends using the EPA/OPPT Multiple Process Vessel Residual Model to conservatively estimate process losses from equipment cleaning if additional site-specific information is not available. ",,2.50000000e+02,0,1,Conservative,Conservative,Incineration or Landfill (per ESD),2,84
4,1,169,9,0.00000000e+00,2.30044797e-02,0.00000000e+00,6.32623177e+01,0.0E+0,2.3E-2,0.0E+0,6.3E+1,0.00000000e+00,,,,,,,,"EPA/OPPT Penetration Model. Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, ""if the chemical is volatile (e.g., the vapor pressure is > 0.001 torr), it may be released to air""; EPA suggests using the EPA/OPPT Penetration Model for estimating releases to air from containers cleaned indoors. ",,2.50000000e+02,0,1,Output 1,Output 2,air (per ESD),2,84
0,0,170,2,0.00000000e+00,1.24905002e+00,0.00000000e+00,3.00000000e+02,0.0E+0,1.2E+0,0.0E+0,3.0E+2,0.00000000e+00,,,,,,,,"EPA/OPPT Drum Residual Model, CEB standard 3% residual. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, ""EPA suggests that a 55-gallon drum be used as a default transport container""; therefore, the EPA/OPPT Drum Residual Model may be used to estimate this release. Container cleaning may involve organic and water wash, which could be released to water, incineration, or landfill, per ESD.",,8.00000000e+01,0,1,Central Tendency,High End,"water, incineration, or landfill (per ESD)",2,85
0,1,171,9,0.00000000e+00,1.19485833e-06,0.00000000e+00,8.96143727e-04,0.0E+0,1.2E-6,0.0E+0,9.0E-4,0.00000000e+00,,,,,,,,"EPA/OPPT Penetration Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, ""if the chemical is volatile, it may vaporize while empty containers are being rinsed and cleaned; therefore, a release to air from container cleaning may occur""; EPA suggests using the EPA/OPPT Penetration Model for estimating releases to air from containers cleaned indoors.",,2.50000000e+02,0,1,Output 1,Output 2,Air (per ESD),2,85
1,0,172,7,3.58794859e-05,7.17589719e-05,2.69096140e-02,5.38192280e-02,3.6E-5,7.2E-5,2.7E-2,5.4E-2,2.50000000e+02,,,,,,,,"EPA/OAQPS AP-42 Loading Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, ""if the chemical is volatile, it may vaporize while containers are being unloaded""; EPA suggests using EPA/OAQPS AP-42 Loading Model to estimate releases for transfer operations. ",,2.50000000e+02,1,1,Typical,Worst Case,Air (per ESD),2,85
2,0,173,9,2.57620668e-05,2.06096534e-04,1.93215497e-02,1.54572397e-01,2.6E-5,2.1E-4,1.9E-2,1.5E-1,2.50000000e+02,,,,,,,,"EPA/OPPT Penetration Model. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, ""volatile chemicals can potentially be released to the air during mixing even at room temperature""; EPA suggests using the EPA/OPPT Penetration Model to estimate releases to air.",,2.50000000e+02,1,1,Typical,Worst Case,Air (per ESD),2,85
